UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
C,1,2018,9,4135435,2110928,2024507,1521420,1451951,320849,312551,33561,32263,110895,107223,6340,6201,117863,114318,1629614,1556943,384266,374855,57568,55385,153759,148276,14860,14275,1568300,1503360,1056215,1005447,291135,284025,17729,17234,104860,101420,4289,4166,94072,91068,1142867,1089521,342670,334681,33373,32107,140664,135612,10562,10051,542628,521147,465205,446504,29714,28526,15832,15029,6035,5803,2051,2035,23791,23250,486747,467422,41596,40174,24195,23278,13095,12664,4298,4224
C,1,2018,10,4185452,2136942,2048510,1545983,1475537,321570,313392,34314,33429,113212,108327,6360,6194,115503,111631,1651894,1577824,383414,373995,58270,56523,155361,148492,14768,14181,1587126,1520024,1073517,1021704,292188,284976,17888,17790,107205,102736,4298,4130,92030,88688,1158309,1103254,342363,334022,33458,32705,142301,136129,10529,9994,549816,528486,472466,453833,29382,28416,16426,15639,6007,5591,2062,2064,23473,22943,493585,474570,41051,39973,24812,23818,13060,12363,4239,4187
C,1,2018,11,4183871,2137413,2046458,1553185,1481909,320487,310843,34678,32908,110824,106480,6173,6069,112066,108249,1655913,1581107,379828,368959,58171,55638,152095,145436,14419,13893,1591936,1521919,1083356,1030434,291901,282887,18107,17497,104874,100903,4207,4052,89491,86146,1165738,1109673,340187,330237,33420,32210,139324,133345,10266,9794,545477,524539,469829,451475,28586,27956,16571,15411,5950,5577,1966,2017,22575,22103,490175,471434,39641,38722,24751,23428,12771,12091,4153,4099
C,1,2018,12,4151543,2120926,2030617,1552333,1475862,311598,304279,33950,33001,110185,108431,6180,6139,106680,102905,1650009,1569987,367437,358645,56893,54945,149596,146256,13936,13524,1586933,1519016,1090914,1033784,284164,277734,17981,17708,104600,103176,4145,4195,85129,82419,1169160,1109408,329637,322149,32920,31991,137639,134945,9868,9703,533993,511601,461419,442078,27434,26545,15969,15293,5585,5255,2035,1944,21551,20486,480849,460579,37800,36496,23973,22954,11957,11311,4068,3821
C,1,2018,13,4154379,2119293,2035086,1555162,1483703,309943,301276,33440,32251,111977,111659,6161,5903,102610,100294,1649004,1575301,363048,353593,55927,54197,150141,148488,13681,13218,1597244,1532510,1102651,1048509,283418,275669,18068,17189,106390,106385,4295,4129,82422,80629,1178369,1122380,326776,318572,32994,31763,138493,137460,9894,9594,522049,502576,452511,435194,26525,25607,15372,15062,5587,5274,1866,1774,20188,19665,470635,452921,36272,35021,22933,22434,11648,11028,3787,3624
C,1,2018,14,4144698,2113713,2030985,1558528,1486968,307071,298897,32381,31845,111002,111253,5981,5686,98750,96336,1648773,1575017,357563,348521,54633,53518,147676,146836,13345,12788,1603704,1537561,1115790,1058844,281345,274111,17574,17127,105657,106092,4156,3986,79182,77401,1188413,1129873,322640,314789,32334,31656,136506,135932,9674,9303,510009,493424,442738,428124,25726,24786,14807,14718,5345,5161,1825,1700,19568,18935,460360,445144,34923,33732,22299,21862,11170,10904,3671,3485
C,1,2018,15,4134222,2107726,2026496,1553689,1483650,310278,302987,32832,31651,110412,110211,5987,5740,94528,92257,1639832,1567683,358391,350345,54737,53123,145298,143929,13206,12591,1602189,1536951,1114292,1057692,284768,278628,17804,17251,105104,105295,4212,4011,76009,74074,1183785,1125467,324252,317417,32432,31606,134454,133629,9657,9166,505537,489545,439397,425958,25510,24359,15028,14400,5308,4916,1775,1729,18519,18183,456047,442216,34139,32928,22305,21517,10844,10300,3549,3425
C,1,2018,16,4163855,2124547,2039308,1567310,1495688,317428,308651,32694,31192,108478,107331,5833,5664,92804,90782,1651820,1578356,364761,355293,54796,53000,142244,139966,12833,12483,1622080,1554432,1130011,1073276,292125,284514,17974,17299,103493,102428,4102,3928,74375,72987,1197936,1140005,330854,322866,32796,31999,131860,129886,9398,9080,502467,484876,437299,422412,25303,24137,14720,13893,4985,4903,1731,1736,18429,17795,453884,438351,33907,32427,22000,21001,10384,10080,3435,3403
C,1,2018,17,4299758,2197113,2102645,1614439,1535116,333835,323816,33590,32373,116070,115053,6015,5857,93164,90430,1699214,1617184,380885,370151,56314,54384,150084,147599,13060,12727,1685105,1611961,1168038,1107770,308322,299207,18719,17914,110890,110159,4306,4106,74830,72805,1236266,1174076,346846,337231,34071,32987,139593,137525,9659,9284,512008,490684,446401,427346,25513,24609,14871,14459,5180,4894,1709,1751,18334,17625,462948,443108,34039,32920,22243,21397,10491,10074,3401,3443
C,1,2018,18,4217215,2147571,2069644,1581955,1517461,325656,316767,32842,31786,112058,111079,5667,5497,89393,87054,1663202,1596280,371033,361456,55258,53532,143809,141868,12551,12243,1652315,1593044,1150303,1101955,300710,292875,18389,17945,107086,106351,3962,3899,71865,70019,1215833,1165484,337953,329676,33684,32851,133848,132190,9155,9030,495256,476600,431652,415506,24946,23892,14453,13841,4972,4728,1705,1598,17528,17035,447369,430796,33080,31780,21574,20681,9961,9678,3396,3213
