UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
P,7,2018,9,4058207,2070373,1987834,1490697,1424456,313336,305676,32972,31984,109735,106218,6199,6151,117434,113349,1598478,1528660,376443,367267,57062,54804,152634,147184,14536,14209,1536418,1473574,1033726,984562,284167,277248,17386,16952,103637,100437,4167,4152,93335,90223,1119781,1067905,335158,327148,32979,31677,139317,134607,10307,10082,533955,514260,456971,439894,29169,28428,15586,15032,6098,5781,2032,1999,24099,23126,478697,460755,41285,40119,24083,23127,13317,12577,4229,4127
P,7,2018,10,4186406,2136727,2049679,1541436,1471189,323295,315592,34307,33074,113697,109710,6403,6181,117589,113933,1649279,1575667,386408,377793,58328,56362,156623,150603,14999,14174,1584637,1520135,1067230,1017222,293518,286677,18028,17596,107746,103918,4341,4105,93774,90617,1153590,1100644,344793,337110,33660,32595,143560,137937,10653,9996,552090,529544,474206,453967,29777,28915,16279,15478,5951,5792,2062,2076,23815,23316,495689,475023,41615,40683,24668,23767,13063,12666,4346,4178
P,7,2018,11,4205105,2148146,2056959,1556446,1485150,324268,314139,34868,33285,112272,107421,6329,6254,113963,110710,1660994,1586497,385166,373927,58567,56389,153894,147233,14664,14305,1596086,1526386,1081892,1028842,294856,285827,18058,17735,106206,101766,4306,4185,90768,88031,1165547,1109731,344220,334380,33503,32651,140818,134943,10454,10098,552060,530573,474554,456308,29412,28312,16810,15550,6066,5655,2023,2069,23195,22679,495447,476766,40946,39547,25064,23738,13076,12290,4210,4207
P,7,2018,12,4170603,2130613,2039990,1554645,1480000,315262,308291,34156,32851,110922,107643,6219,6034,109409,105171,1654945,1576383,372904,364241,57375,55076,151235,145931,14184,13635,1589506,1520262,1087423,1031537,287261,280935,18047,17574,105116,102272,4217,4079,87442,83865,1167877,1108687,334220,326545,33200,32003,138896,134213,10121,9657,541107,519728,467222,448463,28001,27356,16109,15277,5806,5371,2002,1955,21967,21306,487068,467696,38684,37696,24175,23073,12339,11718,4063,3978
P,7,2018,13,4158257,2122616,2035641,1554321,1481110,311700,302796,33744,32904,111904,111053,6225,6067,104722,101711,1650095,1573967,366168,356209,56604,54877,150723,148318,13856,13426,1592131,1526801,1095361,1041157,284523,276467,17983,17571,106313,105781,4260,4225,83691,81600,1172215,1115898,328850,320190,32910,31936,138911,137171,9912,9732,530485,508840,458960,439953,27177,26329,15761,15333,5591,5272,1965,1842,21031,20111,477880,458069,37318,36019,23694,22941,11812,11147,3944,3694
P,7,2018,14,4167471,2125846,2041625,1564097,1491927,309497,301088,32933,32193,112210,112139,6050,5803,101059,98475,1656537,1581967,361347,352202,55307,54008,149874,148397,13516,13040,1607934,1541315,1114754,1058089,283306,275786,17876,17306,106743,106985,4219,4033,81036,79116,1189182,1130649,325650,317661,32705,31922,138424,137498,9801,9395,517912,500310,449343,433838,26191,25302,15057,14887,5467,5154,1831,1770,20023,19359,467355,451318,35697,34541,22602,22086,11450,10899,3715,3645
P,7,2018,15,4140321,2111119,2029202,1556097,1485591,307759,299968,32707,31516,112136,112240,6051,5793,96369,94094,1643966,1571543,356988,348063,54710,53131,147817,146984,13369,12669,1602207,1536243,1114048,1057081,282013,275455,17613,16992,106837,107102,4211,4065,77485,75548,1184956,1126370,322321,314813,32309,31453,136929,136312,9688,9276,508912,492959,442049,428510,25746,24513,15094,14524,5299,5138,1840,1728,18884,18546,459010,445173,34667,33250,22401,21678,10888,10672,3681,3393
P,7,2018,16,4128089,2105283,2022806,1552158,1481279,313304,305243,32638,31233,108661,108207,5870,5651,92652,91193,1636635,1564192,360481,352293,54380,52948,142633,141077,12854,12473,1601281,1536144,1113657,1057779,287878,280756,17791,17128,103542,103308,4135,3940,74278,73233,1181621,1124662,326526,319308,32239,31702,132048,130903,9424,9098,504002,486662,438501,423500,25426,24487,14847,14105,5119,4899,1735,1711,18374,17960,455014,439530,33955,32985,22141,21246,10585,10174,3430,3375
P,7,2018,17,4237766,2163299,2074467,1591487,1517201,325029,316115,32845,31772,114731,113277,5860,5794,93347,90308,1676325,1599394,372373,362291,55233,53369,148951,145967,12964,12693,1653772,1584500,1147562,1090002,299410,291821,18195,17609,109612,108467,4185,4005,74808,72596,1215693,1156295,338058,329753,33311,32221,138443,136019,9529,9220,509527,489967,443925,427199,25619,24294,14650,14163,5119,4810,1675,1789,18539,17712,460632,443099,34315,32538,21922,21148,10508,9948,3435,3473
P,7,2018,18,4314998,2207246,2107752,1622910,1539386,335864,325351,33849,32372,116598,115192,6085,5725,91940,89726,1706578,1620610,382329,371497,56725,54577,149602,147162,13056,12572,1694205,1618370,1175445,1112906,310191,300820,18906,18065,111471,110359,4341,4065,73851,72155,1242824,1178413,348199,338646,34403,33237,139383,137249,9651,9256,513041,489382,447465,426480,25673,24531,14943,14307,5127,4833,1744,1660,18089,17571,463754,442197,34130,32851,22322,21340,10219,9913,3405,3316
